id|id|name|url
0|0|EDvMV|http://dbpedia.org/ontology/EDvMV
1|1|Ak|http://dbpedia.org/ontology/Ak
2|2|EqB|http://dbpedia.org/ontology/EqB
3|3|HR|http://dbpedia.org/ontology/HR
4|4|PH|http://dbpedia.org/ontology/PH
5|5|yb|http://dbpedia.org/ontology/yb
6|6|Yo|http://dbpedia.org/ontology/Yo
7|7|vs|http://dbpedia.org/ontology/vs
8|8|HXuLapz|http://dbpedia.org/ontology/HXuLapz
9|9|FzjnD|http://dbpedia.org/ontology/FzjnD
10|10|Rehi|http://dbpedia.org/ontology/Rehi
11|11|YqJytM|http://dbpedia.org/ontology/YqJytM
12|12|hVtZLAY|http://dbpedia.org/ontology/hVtZLAY
13|13|ob|http://dbpedia.org/ontology/ob
14|14|nabn|http://dbpedia.org/ontology/nabn
15|15|rqjIxs|http://dbpedia.org/ontology/rqjIxs
16|16|YQIJOBxN|http://dbpedia.org/ontology/YQIJOBxN
17|17|vGLGHM|http://dbpedia.org/ontology/vGLGHM
18|18|vnKiN|http://dbpedia.org/ontology/vnKiN
19|19|xXFQHpNz|http://dbpedia.org/ontology/xXFQHpNz
20|20|Ns|http://dbpedia.org/ontology/Ns
21|21|WitUvgP|http://dbpedia.org/ontology/WitUvgP
22|22|rxJDJgSw|http://dbpedia.org/ontology/rxJDJgSw
23|23|gKofrEm|http://dbpedia.org/ontology/gKofrEm
24|24|ROPGifE|http://dbpedia.org/ontology/ROPGifE
25|25|ZYohPqY|http://dbpedia.org/ontology/ZYohPqY
26|26|bE|http://dbpedia.org/ontology/bE
27|27|HWWxe|http://dbpedia.org/ontology/HWWxe
28|28|lKzpYHi|http://dbpedia.org/ontology/lKzpYHi
29|29|Xowe|http://dbpedia.org/ontology/Xowe
30|30|pftdMl|http://dbpedia.org/ontology/pftdMl
31|31|NaW|http://dbpedia.org/ontology/NaW
32|32|YFPX|http://dbpedia.org/ontology/YFPX
33|33|ufQEHF|http://dbpedia.org/ontology/ufQEHF
34|34|qQrNgPUB|http://dbpedia.org/ontology/qQrNgPUB
35|35|bXJoI|http://dbpedia.org/ontology/bXJoI
36|36|BiC|http://dbpedia.org/ontology/BiC
37|37|iH|http://dbpedia.org/ontology/iH
38|38|FmfN|http://dbpedia.org/ontology/FmfN
39|39|LUjQ|http://dbpedia.org/ontology/LUjQ
40|40|bjAI|http://dbpedia.org/ontology/bjAI
41|41|Ulf|http://dbpedia.org/ontology/Ulf
42|42|IoL|http://dbpedia.org/ontology/IoL
43|43|toaXKlHw|http://dbpedia.org/ontology/toaXKlHw
44|44|tbfXPz|http://dbpedia.org/ontology/tbfXPz
45|45|fmmOm|http://dbpedia.org/ontology/fmmOm
46|46|oifT|http://dbpedia.org/ontology/oifT
47|47|QI|http://dbpedia.org/ontology/QI
48|48|Idh|http://dbpedia.org/ontology/Idh
49|49|cswj|http://dbpedia.org/ontology/cswj
50|50|OE|http://dbpedia.org/ontology/OE
51|51|WDe|http://dbpedia.org/ontology/WDe
52|52|OljAb|http://dbpedia.org/ontology/OljAb
53|53|WQfdj|http://dbpedia.org/ontology/WQfdj
54|54|tTeCYLN|http://dbpedia.org/ontology/tTeCYLN
55|55|DJM|http://dbpedia.org/ontology/DJM
56|56|zRjV|http://dbpedia.org/ontology/zRjV
57|57|pvKD|http://dbpedia.org/ontology/pvKD
58|58|Kecg|http://dbpedia.org/ontology/Kecg
59|59|jKGUDBy|http://dbpedia.org/ontology/jKGUDBy
60|60|amuDR|http://dbpedia.org/ontology/amuDR
61|61|PJfIUcFl|http://dbpedia.org/ontology/PJfIUcFl
62|62|PoeCTi|http://dbpedia.org/ontology/PoeCTi
63|63|pRUvOYxo|http://dbpedia.org/ontology/pRUvOYxo
64|64|zacCsftd|http://dbpedia.org/ontology/zacCsftd
65|65|CZPjKmab|http://dbpedia.org/ontology/CZPjKmab
66|66|cWanLUH|http://dbpedia.org/ontology/cWanLUH
67|67|iHgWpH|http://dbpedia.org/ontology/iHgWpH
68|68|RJtY|http://dbpedia.org/ontology/RJtY
69|69|WL|http://dbpedia.org/ontology/WL
70|70|varho|http://dbpedia.org/ontology/varho
71|71|kJyGjluf|http://dbpedia.org/ontology/kJyGjluf
